Decimal,Keyword,Name,Protocol,IPv6 Extension Header
0,HOPOPT,HOPOPT(0),IPv6 Hop-by-Hop Option,Y
1,ICMP,ICMP(1),Internet Control Message Protocol,
2,IGMP,IGMP(2),Internet Group Management Protocol,
3,GGP,GGP(3),Gateway-to-Gateway Protocol,
4,IPv4,IPv4(4),IPv4 encapsulation (IP in IP),
5,ST,ST(5),	Internet Stream Protocol,
6,TCP,TCP(6),Transmission Control Protocol,
7,CBT,CBT(7),Core-based trees Protocol,
8,EGP,EGP(8),Exterior Gateway Protocol,
9,IGP,IGP(9),Interior Gateway Protocol (any private interior gateway; used by Cisco for their IGRP),
10,BBN-RCC-MON,BBN-RCC-MON(10),BBN RCC Monitoring,
11,NVP-II,NVP-II(11),Network Voice Protocol,
12,PUP,PUP(12),Xerox PUP,
13,ARGUS,ARGUS(13),ARGUS,
14,EMCON,EMCON(14),EMCON,
15,XNET,XNET(15),Cross Net Debugger,
16,CHAOS,CHAOS(16),Chaos,
17,UDP,UDP(17),User Datagram Protocol,
18,MUX,MUX(18),Multiplexing,
19,DCN-MEAS,DCN-MEAS(19),DCN Measurement Subsystems,
20,HMP,HMP(20),Host Monitoring Protocol,
21,PRM,PRM(21),Packet Radio Measurement,
22,XNS-IDP,XNS-IDP(22),XEROX NS IDP,
23,TRUNK-1,TRUNK-1(23),Trunk-1,
24,TRUNK-2,TRUNK-2(24),Trunk-2,
25,LEAF-1,LEAF-1(25),Leaf-1,
26,LEAF-2,LEAF-2(26),Leaf-2,
27,RDP,RDP(27),Reliable Data Protocol,
28,IRTP,IRTP(28),Internet Reliable Transaction Protocol,
29,ISO-TP4,ISO-TP4(29),ISO Transport Protocol Class 4,
30,NETBLT,NETBLT(30),Bulk Data Transfer Protocol,
31,MFE-NSP,MFE-NSP(31),MFE Network Services Protocol,
32,MERIT-INP,MERIT-INP(32),MERIT Internodal Protocol,
33,DCCP,DCCP(33),Datagram Congestion Control Protocol,
34,3PC,3PC(34),Third Party Connect Protocol,
35,IDPR,IDPR(35),Inter-Domain Policy Routing Protocol,
36,XTP,XTP(36),Xpress Transport Protocol,
37,DDP,DDP(37),Datagram Delivery Protocol,
38,IDPR-CMTP,IDPR-CMTP(38),IDPR Control Message Transport Protocol,
39,TP++,TP++(39),TP++ Transport Protocol,
40,IL,IL(40),IL Transport Protocol,
41,IPv6,IPv6(41),IPv6 encapsulation,
42,SDRP,SDRP(42),Source Demand Routing Protocol,
43,IPv6-Route,IPv6-Route(43),Routing Header for IPv6,Y
44,IPv6-Frag,IPv6-Frag(44),Fragment Header for IPv6,Y
45,IDRP,IDRP(45),Inter-Domain Routing Protocol,
46,RSVP,RSVP(46),Reservation Protocol,
47,GRE,GRE(47),Generic Routing Encapsulation,
48,DSR,DSR(48),Dynamic Source Routing Protocol,
49,BNA,BNA(49),Burroughs Network Architecture,
50,ESP,ESP(50),Encapsulating Security Payload,Y
51,AH,AH(51),Authentication Header,Y
52,I-NLSP,I-NLSP(52),Integrated Net Layer Security TUBA,
53,SWIPE,SWIPE(53),SwIPe; IP with Encryption,
54,NARP,NARP(54),NBMA Address Resolution Protocol,
55,MOBILE,MOBILE(55),IP Mobility (Min Encap),
56,TLSP,TLSP(56),Transport Layer Security Protocol (using Kryptonet key management),
57,SKIP,SKIP(57),Simple Key-Management for Internet Protocol,
58,IPv6-ICMP,IPv6-ICMP(58),ICMP for IPv6,
59,IPv6-NoNxt,IPv6-NoNxt(59),No Next Header for IPv6,
60,IPv6-Opts,IPv6-Opts(60),Destination Options for IPv6,Y
61,,#61,any host internal protocol,
62,CFTP,CFTP(62),CFTP,
63,,#63,any local network,
64,SAT-EXPAK,SAT-EXPAK(64),SATNET and Backroom EXPAK,
65,KRYPTOLAN,KRYPTOLAN(65),Kryptolan,
66,RVD,RVD(66),MIT Remote Virtual Disk Protocol,
67,IPPC,IPPC(67),Internet Pluribus Packet Core,
68,,#68,any distributed file system,
69,SAT-MON,SAT-MON(69),SATNET Monitoring,
70,VISA,VISA(70),VISA Protocol,
71,IPCV,IPCV(71),Internet Packet Core Utility,
72,CPNX,CPNX(72),Computer Protocol Network Executive,
73,CPHB,CPHB(73),Computer Protocol Heart Beat,
74,WSN,WSN(74),Wang Span Network,
75,PVP,PVP(75),Packet Video Protocol,
76,BR-SAT-MON,BR-SAT-MON(76),Backroom SATNET Monitoring,
77,SUN-ND,SUN-ND(77),SUN ND PROTOCOL-Temporary,
78,WB-MON,WB-MON(78),WIDEBAND Monitoring,
79,WB-EXPAK,WB-EXPAK(79),WIDEBAND EXPAK,
80,ISO-IP,ISO-IP(80),ISO Internet Protocol,
81,VMTP,VMTP(81),Versatile Message Transaction Protocol,
82,SECURE-VMTP,SECURE-VMTP(82),Secure Versatile Message Transaction Protocol,
83,VINES,VINES(83),VINES,
84,IPTM/TTP,IPTM/TTP(84),Internet Protocol Traffic Manager/Transaction Transport Protocol,
85,NSFNET-IGP,NSFNET-IGP(85),NSFNET-IGP,
86,DGP,DGP(86),Dissimilar Gateway Protocol,
87,TCF,TCF(87),TCF,
88,EIGRP,EIGRP(88),EIGRP,
89,OSPFIGP,OSPFIGP(89),Open Shortest Path First IGP,
90,Sprite-RPC,Sprite-RPC(90),Sprite RPC Protocol,
91,LARP,LARP(91),Locus Address Resolution Protocol,
92,MTP,MTP(92),Multicast Transport Protocol,
93,AX.25,AX.25(93),AX.25 Frames,
94,IPIP,IPIP(94),IP-within-IP Encapsulation Protocol (KA9Q NOS compatible IP over IP tunneling),
95,MICP,MICP(95),Mobile Internetworking Control Protocol,
96,SCC-SP,SCC-SP(96),Semaphore Communications Sec. Protocol,
97,ETHERIP,ETHERIP(97),Ethernet-within-IP Encapsulation,
98,ENCAP,ENCAP(98),Encapsulation Header,
99,,#99,any private encryption scheme,
100,GMTP,GMTP(100),GMTP,
101,IFMP,IFMP(101),Ipsilon Flow Management Protocol,
102,PNNI,PNNI(102),PNNI over IP,
103,PIM,PIM(103),Protocol Independent Multicast,
104,ARIS,ARIS(104),IBM’s ARIS (Aggregate Route IP Switching) Protocol,
105,SCPS,SCPS(105),Space Communications Protocol Standards,
106,QNX,QNX(106),QNX,
107,A/N,A/N(107),Active Networks,
108,IPComp,IPComp(108),IP Payload Compression Protocol,
109,SNP,SNP(109),Sitara Networks Protocol,
110,Compaq-Peer,Compaq-Peer(110),Compaq Peer Protocol,
111,IPX-in-IP,IPX-in-IP(111),IPX in IP,
112,VRRP,VRRP(112),Virtual Router Redundancy Protocol,
113,PGM,PGM(113),PGM Reliable Transport Protocol,
114,,#114,any 0-hop protocol,
115,L2TP,L2TP(115),	Layer Two Tunneling Protocol Version 3,
116,DDX,DDX(116),D-II Data Exchange (DDX),
117,IATP,IATP(117),Interactive Agent Transfer Protocol,
118,STP,STP(118),Schedule Transfer Protocol,
119,SRP,SRP(119),SpectraLink Radio Protocol,
120,UTI,UTI(120),Universal Transport Interface Protocol,
121,SMP,SMP(121),Simple Message Protocol,
122,SM,SM(122),Simple Multicast Protocol,
123,PTP,PTP(123),Performance Transparency Protocol,
124,ISIS over IPv4,ISIS over IPv4(124),Intermediate System to Intermediate System (IS-IS) Protocol over IPv4,
125,FIRE,FIRE(125),Flexible Intra-AS Routing Environment,
126,CRTP,CRTP(126),Combat Radio Transport Protocol,
127,CRUDP,CRUDP(127),Combat Radio User Datagram,
128,SSCOPMCE,SSCOPMCE(128),Service-Specific Connection-Oriented Protocol in a Multilink and Connectionless Environment,
129,IPLT,IPLT(129),,
130,SPS,SPS(130),Secure Packet Shield,
131,PIPE,PIPE(131),Private IP Encapsulation within IP,
132,SCTP,SCTP(132),Stream Control Transmission Protocol,
133,FC,FC(133),Fibre Channel,
134,RSVP-E2E-IGNORE,RSVP-E2E-IGNORE(134),Reservation Protocol (RSVP) End-to-End Ignore,
135,Mobility Header,Mobility Header(135),Mobility Extension Header for IPv6,Y
136,UDPLite,UDPLite(136),Lightweight User Datagram Protocol,
137,MPLS-in-IP,MPLS-in-IP(137),Multiprotocol Label Switching Encapsulated in IP,
138,manet,manet(138),MANET Protocols,
139,HIP,HIP(139),Host Identity Protocol,Y
140,Shim6,Shim6(140),Shim6 Protocol,Y
141,WESP,WESP(141),Wrapped Encapsulating Security Payload,
142,ROHC,ROHC(142),Robust Header Compression,
143,Ethernet,Ethernet(143),IPv6 Segment Routing (TEMPORARY - registered 2020-01-31&#44; expires 2021-01-31),
144,,Unassigned(144),Unassigned,
145,,Unassigned(145),Unassigned,
146,,Unassigned(146),Unassigned,
147,,Unassigned(147),Unassigned,
148,,Unassigned(148),Unassigned,
149,,Unassigned(149),Unassigned,
150,,Unassigned(150),Unassigned,
151,,Unassigned(151),Unassigned,
152,,Unassigned(152),Unassigned,
153,,Unassigned(153),Unassigned,
154,,Unassigned(154),Unassigned,
155,,Unassigned(155),Unassigned,
156,,Unassigned(156),Unassigned,
157,,Unassigned(157),Unassigned,
158,,Unassigned(158),Unassigned,
159,,Unassigned(159),Unassigned,
160,,Unassigned(160),Unassigned,
161,,Unassigned(161),Unassigned,
162,,Unassigned(162),Unassigned,
163,,Unassigned(163),Unassigned,
164,,Unassigned(164),Unassigned,
165,,Unassigned(165),Unassigned,
166,,Unassigned(166),Unassigned,
167,,Unassigned(167),Unassigned,
168,,Unassigned(168),Unassigned,
169,,Unassigned(169),Unassigned,
170,,Unassigned(170),Unassigned,
171,,Unassigned(171),Unassigned,
172,,Unassigned(172),Unassigned,
173,,Unassigned(173),Unassigned,
174,,Unassigned(174),Unassigned,
175,,Unassigned(175),Unassigned,
176,,Unassigned(176),Unassigned,
177,,Unassigned(177),Unassigned,
178,,Unassigned(178),Unassigned,
179,,Unassigned(179),Unassigned,
180,,Unassigned(180),Unassigned,
181,,Unassigned(181),Unassigned,
182,,Unassigned(182),Unassigned,
183,,Unassigned(183),Unassigned,
184,,Unassigned(184),Unassigned,
185,,Unassigned(185),Unassigned,
186,,Unassigned(186),Unassigned,
187,,Unassigned(187),Unassigned,
188,,Unassigned(188),Unassigned,
189,,Unassigned(189),Unassigned,
190,,Unassigned(190),Unassigned,
191,,Unassigned(191),Unassigned,
192,,Unassigned(192),Unassigned,
193,,Unassigned(193),Unassigned,
194,,Unassigned(194),Unassigned,
195,,Unassigned(195),Unassigned,
196,,Unassigned(196),Unassigned,
197,,Unassigned(197),Unassigned,
198,,Unassigned(198),Unassigned,
199,,Unassigned(199),Unassigned,
200,,Unassigned(200),Unassigned,
201,,Unassigned(201),Unassigned,
202,,Unassigned(202),Unassigned,
203,,Unassigned(203),Unassigned,
204,,Unassigned(204),Unassigned,
205,,Unassigned(205),Unassigned,
206,,Unassigned(206),Unassigned,
207,,Unassigned(207),Unassigned,
208,,Unassigned(208),Unassigned,
209,,Unassigned(209),Unassigned,
210,,Unassigned(210),Unassigned,
211,,Unassigned(211),Unassigned,
212,,Unassigned(212),Unassigned,
213,,Unassigned(213),Unassigned,
214,,Unassigned(214),Unassigned,
215,,Unassigned(215),Unassigned,
216,,Unassigned(216),Unassigned,
217,,Unassigned(217),Unassigned,
218,,Unassigned(218),Unassigned,
219,,Unassigned(219),Unassigned,
220,,Unassigned(220),Unassigned,
221,,Unassigned(221),Unassigned,
222,,Unassigned(222),Unassigned,
223,,Unassigned(223),Unassigned,
224,,Unassigned(224),Unassigned,
225,,Unassigned(225),Unassigned,
226,,Unassigned(226),Unassigned,
227,,Unassigned(227),Unassigned,
228,,Unassigned(228),Unassigned,
229,,Unassigned(229),Unassigned,
230,,Unassigned(230),Unassigned,
231,,Unassigned(231),Unassigned,
232,,Unassigned(232),Unassigned,
233,,Unassigned(233),Unassigned,
234,,Unassigned(234),Unassigned,
235,,Unassigned(235),Unassigned,
236,,Unassigned(236),Unassigned,
237,,Unassigned(237),Unassigned,
238,,Unassigned(238),Unassigned,
239,,Unassigned(239),Unassigned,
240,,Unassigned(240),Unassigned,
241,,Unassigned(241),Unassigned,
242,,Unassigned(242),Unassigned,
243,,Unassigned(243),Unassigned,
244,,Unassigned(244),Unassigned,
245,,Unassigned(245),Unassigned,
246,,Unassigned(246),Unassigned,
247,,Unassigned(247),Unassigned,
248,,Unassigned(248),Unassigned,
249,,Unassigned(249),Unassigned,
250,,Unassigned(250),Unassigned,
251,,Unassigned(251),Unassigned,
252,,Unassigned(252),Unassigned,
253,,#253,Use for experimentation and testing,Y
254,,#254,Use for experimentation and testing,Y
255,Reserved,Reserved(255),,
